1 to 6,7 to 12,13 to 18,19 to 24
79.85,66.05,83.9,59.5
106.675,72,51.9,47
87.85,86.55,69.15,54.65
164.05,67.2,83.95,42.4
163.65,133.35,125.65,57.625
254.25,76.35,142.05,83.375
328.1,209,170.3,85.7
255.825,122.375,144.85,94.7
333.35,137.5,110.6,79.15
292.6,160.95,119.6,111.05
